ISBN,Title,Author,Binding,Publisher,Published
007Y665842,Unknown Title,"Unknown, Author",,,
002969910X,Switzerland Country Guide (Berlitz Country Guide),Berlitz Guides; Ken Bernstein,,,
004823155X,Lord of the Rings: The Fellowship of the Ring v. 1,"Tolkien, J. R. R.",,,
0006152392,Lord Foul's Bane,"Donaldson, Stephen",,,
0006152465,Illearth War,"Donaldson, Stephen",,,
0006152473,Power That Preserves,"Donaldson, Stephen",,,
0006161405,Wounded Land,"Donaldson, Stephen",,,
0006163831,One Tree,"Donaldson, Stephen",,,
013216292X,Discrete-Time Signal Processing (Prentice-Hall Signal Processing Series),Alan V. Oppenheim; Ronald W. Schafer,,,
014030150X,Finn Family Moomintroll,"Jansson, Tove",,,
017006137X,Unknown Title,"Unknown, Author",,,
033026656X,"Many-Coloured Land (Saga of the Exiles, Book 1)","May, Julian",,,
033026902X,Nonborn King,"May, Julian",,,
033028097X,Masterglass: a Practical Course in Tasting Wine,"Robinson, Jancis",,,
034529520X,The Curse of the Witch-Queen,"Volsky, Paula",,,
0048030015,The Complete Guide To Middle-Earth: From The Hobbit To The Silmarillion,"Foster, Robert",,,
0048230707,The Hobbit (U.Books),"Tolkien, J. R. R.",,,
0048231533,The Silmarillion,"Tolkien, J. R. R.",,,
0048231568,Lord of the Rings: The Two Towers v. 2,"Tolkien, J. R. R.",,,
0048231576,Lord of the Rings: The Return of the King v. 3,"Tolkien, J. R. R.",,,
055326382X,The Dancing Wu Li Masters: An Overview of the New Physics,"Zukav, Gary",,,
058604356X,Fahrenheit 451,"Bradbury, Ray",,,
067170625X,Apollo: Race to the Moon,Charles Murray; Catherine Bly Cox,,,
0091833795,Discover Australia: National Parks,"Moon, Ron and Viv",,,
0099288206,The Space Eater,"Langford, David",,,
0140009078,The Trial (Modern Classics),"Kafka, Franz",,,
0140020551,Physical Fitness,"Airforce, Royal Canadian",,,
0140224076,Einstein's Universe: Guide to the Theory of Relativity,"Calder, Nigel",,,
0140303235,The Exploits of Moominpappa,"Jansson, Tove",,,
0170062252,Unknown Title,"Unknown, Author",,,
0198312415,Dragon Book of Verse,"Harrison, Michael",,,
0207150222,Book of Runes (St) (Alt),"Blum, Ralph",,,
0304969508,Berlitz Travel Guide to Oxford and Stratford,"Unknown, Author",,,
0330201077,The Spy Who Came in from the Cold,"le Carre, John",,,
0330236199,Profiles Of The Future,"Clarke, Arthur C.",,,
0330258648,The Hitch-Hikers Guide to the Galaxy,"Adams, Douglas",,,
0330262130,The Restaurant at the End of the Universe,"Adams, Douglas",,,
0330264621,Lord Valentine's Castle,"Silverberg, Robert",,,
0330267191,"Golden Torc (Saga of the Exiles, Book 2)","May, Julian",,,
0330267388,"Life, the Universe and Everything","Adams, Douglas",,,
0330280317,The Adversary,"May, Julian",,,
0330281178,Majipoor Chronicles,"Silverberg, Robert",,,
0330287001,"So Long, and Thanks for All the Fish","Adams, Douglas",,,
0333354605,Mastering Pascal Programming (Macmillan Master),"Huggins, Eric",,,
0340013613,Moonspinners (Coronet Books),"Stewart, Mary",,,
0340022027,This Rough Magic,"Stewart, Mary",,,
0340043539,The Gabriel Hounds,"Stewart, Mary",,,
0340186119,Hollow Hills (The Merlin Trilogy),"Stewart, Mary",,,
0340258292,Last Enchantment (The Merlin Trilogy),"Stewart, Mary",,,
0340369418,Role of Honor,"Gardner, John",,,
0340397063,The Serpent's Circle (Coronet Books),"Harpur, Patrick",,,
0345296664,Dragonquest,"McCaffrey, Anne",,,
0345298365,Six of Swords,"Douglas, Carole Nelson",,,
0345337646,"The Silent Tower (Windrose Chronicles, Book 1)","Hambly, Barbara",,,
0345424603,The Masterharper of Pern (Dragonriders of Pern),"McCaffrey, Anne",,,
0352306947,England Invaded,"Moorcock, Michael",,,
0352309512,The Tolkien Quiz Book,Linda Wilson; Nigel Robinson,,,
0395445329,Birnbaum's France 1988,"Birnbaum, Stephen",,,
0395445337,Birnbaum's Great Britain and Ireland 1988,"Birnbaum, Stephen",,,
0413369005,Way Station (Methuen Paperbacks),"Simak, Clifford D.",,,
0441005314,Freedom's Choice,"McCaffrey, Anne",,,
0441273874,The Gates of Creation,"Farmer, Philip José",,,
0441786537,The Stone God Awakens,"Farmer, Philip José",,,
0450035859,Revolt in 2100,"Heinlein, Robert A.",,,
0450039528,The Day After Tomorrow,"Heinlein, Robert A.",,,
0450040763,Podkayne Of Mars,"Heinlein, Robert A.",,,
0450050300,Glory Road,"Heinlein, Robert A",,,
0450051277,Number of the Beast,"Heinlein, Robert A.",,,
0450054381,I Will Fear No Evil,"Heinlein, Robert A",,,
0450058409,Job - A Comedy Of Justice,"Heinlein, Robert A.",,,
0552092363,Dragonflight,"Mccaffrey, Anne",,,
0552097551,Catch-22,"Heller, Joseph",,,
0552101613,Restoree,"McCaffrey, Anne",,,
0552106615,Dragonsong,"McCaffrey, Anne",,,
0552108812,Dragonsinger,"McCaffrey, Anne",,,
0552108847,Collapsing Universe: Story of Black Holes,"Asimov, Isaac",,,
0552109657,Get Off the Unicorn,"Mccaffrey, Anne",,,
0552113131,White Dragon,"Mccaffrey, Anne",,,
0552115002,Devil's Alternative,"Forsyth, Frederick",,,
0552118044,Dragondrums,"Mccaffrey, Anne",,,
0552131199,Unknown Title,"Unknown, Author",,,
0553234951,Startide Rising (Uplift Trilogy),"Brin, David",,,
0553238272,The Herb Book,"Lust, John B",,,
0553255959,The Complete Book of Palmistry,"Wilson, Joyce",,,
0553283685,Hyperion,"Simmons, Dan",,,
0553288202,The Fall of Hyperion,"Simmons, Dan",,,
0582555442,Pocket science dictionary (Longman top pocket series),"Unknown, Author",,,
0586008357,The Caves of Steel,"Asimov, Isaac",,,
0586010165,Naked Sun,"Asimov, Isaac",,,
0586010424,Earth Is Room Enough,"Asimov, Isaac",,,
0586017992,The Martian Way,"Asimov, Isaac",,,
0586037608,Triplanetary,"Smith, E. E. (Doc)",,,
0586037721,The Gods Themselves,"Asimov, Isaac",,,
0586037799,First Lensman (Panther Science Fiction),"Smith, E. E. (Doc)",,,
0586038280,Galactic Patrol (Panther Science Fiction),"Smith, E. E. (Doc)",,,
0586038450,Grey Lensman,"Smith, E. E. (Doc)",,,
0586038469,Second Stage Lensman (Lensman Series #5),"Smith, E. E. (Doc)",,,
0586038477,Children of the Lens (Lensman Series),"Smith, E. E. (Doc)",,,
0586038485,Masters of the Vortex (Lensman Series),"Smith, E.E. (Doc)",,,
0586039899,The Fabulous Riverboat,"Farmer, Philip José",,,
0586043985,Buy Jupiter and Other Stories,"Asimov, Isaac",,,
0586044345,Brave New World,"Huxley, Aldous",,,
0586051287,Opus: A Selection from the First 200 Books,"Asimov, Isaac",,,
0600202615,Duncton Wood,"Horwood, William",,,
0642015317,Unknown Title,"Unknown, Author",,,
0646134728,Unknown Title,"Unknown, Author",,,
0646222317,The Lepers,"Frank; Browning, Guy Weissenborn",,,
0671648705,"Timetrap (Star Trek, No 40)","Dvorkin, David",,,
0671727214,Italian - English Dictionary,"Fantonetti, Carlo;Tedeschi, Alberto",,,
0671877577,The Proteus Operation,"Hogan, James P.",,,
0708880363,In The Hall Of The Martian Kings,"Varley, John",,,
0708880681,Tales of Known Space,"Niven, Larry",,,
0722116306,Timescape,"Benford, Gregory",,,
0722134274,Maker Of Universes,"Farmer, Philip José",,,
0725512008,Dick Smith's Australian Amateur Radio Handbook,"Smith, Dick",,,
0730936546,Unknown Title,"Unknown, Author",,,
0747404135,Unknown Title,"Unknown, Author",,,
0812524829,Slant,"Bear, Greg",,,
0812558170,The Urth of the New Sun,"Wolfe, Gene",,,
0842345523,More Than a Carpenter,"McDowell, Josh",,,
0860078531,Hole in Space (Orbit Books),"Niven, Larry",,,
0863992315,Wine and Beermaking - Hints and Recipes,"Turner, Ben",,,
0868246298,Unknown Title,"Unknown, Author",,,
0872169510,Feast Unknown,"Farmer, Philip José",,,
0880381736,"Dragons of Autumn Twilight (DragonLance Chronicles, Vol. 1)","Weiss, Margaret;Hickman, Tracy",,,
0880381744,"Dragons of Winter Night (DragonLance Chronicles, Vol. 2)","Weiss, Margaret;Hickman, Tracy",,,
0880381752,"Dragons of Spring Dawning (Dragonlance Chronicles, Vol. 3)","Weiss, Margaret;Hickman, Tracy",,,
0901496464,Hostelling International: Europe 1996,"Federation, International Youth Hostel",,,
0901496472,"Hostelling International Guides: The Official Guide to Hostels in Africa, America, Asia and the Pacific 1996","Federation, International Youth Hostel",,,
0909439060,Melway Greater Melbourne,"Unknown, Author",,,
0931988799,Discover FORTH: Learning and programming the FORTH language,"Hogan, Thom",,,
0949290076,Unknown Title,"Unknown, Author",,,
0959562931,Unknown Title,"Unknown, Author",,,
0959915443,Historic Mount Gambier,"Dean, Lois",,,
0977504719,Unknown Title,"Unknown, Author",,,
1563331667,Image of the Beast,"Farmer, Philip José",,,
1857239067,Inversions,"Banks, Iain M",,,
1863300309,The Black Grail,"Broderick, Damien",,,
1863300325,Striped Holes,"Broderick, Damien",,,
1875889930,Unknown Title,"Unknown, Author",,,
031809004999,Unknown Title,"Unknown, Author",,,
037145003955,The Edge of Tomorrow,"Asimov, Isaac",,,
070999002507,Unknown Title,"Unknown, Author",,,
070999002750,Unknown Title,"Unknown, Author",,,
070999003955,Unknown Title,"Unknown, Author",,,
072742006992,Unknown Title,"Unknown, Author",,,
074470240938,Unknown Title,"Unknown, Author",,,
076092022923,Unknown Title,"Unknown, Author",,,
076714003958,Unknown Title,"Unknown, Author",,,
076714005990,Unknown Title,"Unknown, Author",,,
076783004504,Unknown Title,"Unknown, Author",,,
076783004955,Unknown Title,"Unknown, Author",,,
076783007994,Unknown Title,"Unknown, Author",,,
078021002501,Unknown Title,"Unknown, Author",,,
9318923008289,Cradle Mountain and Lake St Clair,"Unknown, Author",,,
9770952620014,Unknown Title,"Unknown, Author",,,
9780002201377,Galapagos (Safari Guide),"Fitter, Julian",,,
9780004704814,Collins Gem German Study Set,"Unknown, Author",,,
9780006167778,White Gold Wielder,"Donaldson, Stephen",,,
9780006169857,Daughter of Regals,"Donaldson, Stephen",,,
9780006173434,Prophet of Lamath,"Hughes, Robert Don",,,
9780006173441,The Wizard in Waiting,"Hughes, Robert Don",,,
9780006173458,Power and the Prophet,"Hughes, Robert Don",,,
9780006173991,Mirror of Her Dreams,"Donaldson, Stephen",,,
9780006174288,The Ring of Allaire,"Dexter, Susan",,,
9780006176541,Man Rides Through,"Donaldson, Stephen",,,
9780006470199,Real Story,"Donaldson, Stephen",,,
9780006470229,Chaos and Order,"Donaldson, Stephen",,,
9780006471011,Hidden Echoes,"Jefferies, Mike",,,
9780006480013,Merlin's Wood,"Holdstock, Robert",,,
9780006511380,Darwins Radio,"Bear, Greg",,,
9780006530916,Sony: The Private Life,"Nathan, John",,,
9780007170579,Gollum: How We Made Movie Magic (The Lord of the Rings),"Serkis, Andy",,,
9780007196555,Collins Express English-Japanese Dictionary (Shubun Express),"Unknown, Author",,,
9780007288427,Little Brother,"Doctorow, Cory",,,
9780007325221,Makers,"Doctorow, Cory",,,
9780007327942,Eastern Standard Tribe,"Doctorow, Cory",,,
9780007327959,"Someone Comes to Town, Someone Leaves Town","Doctorow, Cory",,,
9780007331680,The Man in the White Suit,"Collins, Ben",,,
9780048232083,Unfinished Tales of Numenor and Middle-Earth,"Tolkien, J.R.R.",,,
9780048233431,Dragonsbane,"Hambly, Barbara",,,
9780060199067,Evolution: The Triumph of an Idea,"Zimmer, Carl",,,
9780060675073,Living in Sin?: A Bishop Rethinks Human Sexuality,"Spong, John Shelby",,,
9780060675479,Resurrection: Myth or Reality? : A Bishop's Search for the Origins of Christianity,"Spong, John Shelby",,,
9780060977719,Blind Man's Bluff: The Untold Story of American Submarine Espionage,Sherry Sontag; Christopher Drew,,,
9780061242700,Freakonomics,Steven D. Levitt; Stephen J. Dubner,,,
9780071422741,Build Your Own Humanoid Robots : 6 Amazing and Affordable Projects (TAB Robotics),"Williams, Karl",,,
9780071750363,"Robot Builder's Bonanza, 4th Edition","McComb, Gordon",,,
9780073380230,Introduction to Mechatronics and Measurement Systems,"Alciatore, David",,,
9780091874155,"Madhur Jaffrey's Ultimate Curry Bible: India, Singapore, Malaysia, Indonesia, Thailand, South Africa, Kenya, Great Britain, Trinidad, Guyana, Japan, U","Jaffrey, Madhur",,,
9780091886578,Science of Discworld,"Pratchett, Terry",,,
9780091888053,The Science of Discworld II: The Globe,"Pratchett, Terry;Stewart, Ian;Cohen, Jack",,,
9780099040309,The Black Art,"Ahmed, Rollo",,,
9780099263203,The Shadow of the Torturer (The Book of the new sun),"Wolfe, Gene",,,
9780099274704,The Claw Of The Conciliator,"Wolfe, Gene",,,
9780099285830,The Lying Stones of Marrakech: Penultimate Reflections in Natural History,"Gould, Stephen Jay",,,
9780099287377,London Under,"Ackroyd, Peter",,,
9780099295402,The Sword of the Lictor,"Wolfe, Gene",,,
9780099302780,"Guns, Germs and Steel","Diamond, Jared",,,
9780099304913,Stiffed,"Faludi, Susan",,,
9780099320609,The Citadel of the Autarch (The Book of the New Sun),"Wolfe, Gene",,,
9780099348504,The Crucible of Time,"Brunner, John",,,
9780099350712,Legacy,"Bear, Greg",,,
9780099373001,Golden Witchbreed,"Gentle, Mary",,,
9780099377702,Sheep Look Up,"Brunner, John",,,
9780099385608,Twilight Realm,"Carpenter, Christopher",,,
9780099410676,Cryptonomicon,"Stephenson, Neal",,,
9780099410683,Quicksilver,"Stephenson, Neal",,,
9780099455400,The Stonor Eagles,"Horwood, William",,,
9780099460275,Raw Spirit,"Banks, Iain",,,
9780099510703,Stalking The Unicorn: A Fable Of Tonight,"Resnick, Mike",,,
9780099529934,The Complete Sherlock Holmes,"Doyle, Sir Arthur Conan",,,
9780099547105,Eon,"Bear, Greg",,,
9780099579939,Fifty Shades of Grey,"James, E. L.",,,
9780099627500,Another Fine Myth,"Asprin, Robert",,,
9780099627609,Myth Conceptions,"Asprin, Robert",,,
9780099662600,Myth Directions,"Asprin, Robert",,,
9780099745204,Hit or Myth,"Asprin, Robert",,,
9780099745303,Little Myth Marker,"Asprin, Robert",,,
9780099745402,Myth-ing Persons,"Asprin, Robert",,,
9780099804208,M.Y.T.H. Inc.Link,"Asprin, Robert",,,
9780131405301,Enterprise J2ME: Developing Mobile Java Applications,"Yuan, Michael Juntao",,,
9780137914845,"Frommer's Scandinavia on $60 a Day, 1989-90",Darwin Porter; Danforth Prince; Margaret Foresman,,,
9780140042351,The Great Railway Bazaar,"Theroux, Paul",,,
9780140060560,The Norse Myths: Gods of the Vikings,"Holland, Kevin Crossley",,,
9780140065978,Monsignor Quixote,"Greene, Graham",,,
9780140071818,The Kingdom by the Sea: A Journey Around the Coast of Great Britain,"Theroux, Paul",,,
9780140112894,Herbs in Australian Gardens,"Fletcher, Kim",,,
9780140112955,Riding the Iron Rooster By Train Through China,"Theroux, Paul",,,
9780140153736,Voltaire's Bastards : The Dictatorship of Reason in the West,"Saul, John Ralston",,,
9780140157727,Virtual Light,"Gibson, William",,,
9780140159769,The Happy Isles of Oceania: Paddling the Pacific,"Theroux, Paul",,,
9780140232929,Snow Crash,"Stephenson, Neal",,,
9780140245011,The Complete Dead Sea Scrolls in English,"Vermes, Geza",,,
9780140257458,The Crusades (BBC Books),"Jones, J. Sydney",,,
9780140258370,How to Be More Interesting,"Bono, Edward De",,,
9780140264647,The Unconscious Civilization,"Saul, John Ralston",,,
9780140264913,The Private Life of the Brain (Penguin Press Science),"Greenfield, Susan",,,
9780140266139,All Tomorrow's Parties,"Gibson, William",,,
9780140266146,Pattern Recognition,"Gibson, William",,,
9780140269635,Bachelor Kisses,"Earls, Nick",,,
9780140270372,Diamond Age,"Stephenson, Neal",,,
9780140302868,Comet in Moominland (Moomintroll),"Jansson, Tove",,,
9780140305029,Moominland Midwinter (Moomintroll),"Jansson, Tove",,,
9780140307153,Moominvalley in November,"Jansson, Tove",,,
9780141005034,Evolution's Workshop (Haemostasis S.),"Larson, Edward J.",,,
9780141016719,Spook Country,"Gibson, William",,,
9780141023304,The Defence of the Realm,"Andrew, Christopher",,,
9780141026114,Don't Stop Me Now,"Clarkson, Jeremy",,,
9780141029290,The Joys of Engrish,"Caires, Steven",,,
9780141044224,Don't Swallow Your Gum!,"Carroll, Aaron E.; Vreeman, Rachel C.",,,
9780141323954,Dot.Robot,"Bradbury, Jason",,,
9780141328607,Finn Family Moomintroll (Moomins),"Jansson, Tove",,,
9780141334394,Moominpappa at Sea,"Jansson, Tove",,,
9780143204787,Obernewtyn,"Carmody, Isobelle",,,
9780143566434,The Time Machine,"Wells, H.G.",,,
9780192851390,A History of the Vikings (Oxford paperbacks),"Jones, Gwyn",,,
9780195530872,Australian Words and Their Origins,"Unknown, Author",,,
9780198661856,The Oxford Dictionary of Quotations,"Unknown, Author",,,
9780199534043,Concise Oxford Dictionary of Archaeology (Oxford Paperback Reference),"Darvill, Timothy",,,
9780201403633,Ada95 for C and C++ Programmers (International Computer Science Series),"Johnston, Simon",,,
9780201565393,Programming in Ada Plus Language Reference Manual (International computer science series),Barnes,,,
9780201696967,HTML 4 for the World Wide Web: VQS (3rd Edition),"Castro, Elizabeth",,,
9780201710984,XML for the World Wide Web,"Castro, Elizabeth",,,
9780241140123,The Art of Travel,"Botton, Alain De",,,
9780316848633,The Business,"Banks, Iain",,,
9780330239226,Indecent Exposure,"Sharpe, Tom",,,
9780330242813,Gravity's Rainbow,"Pynchon, Thomas",,,
9780330246675,Porterhouse Blue,"Sharpe, Tom",,,
9780330250801,Blott On The Landscape,"Sharpe, Tom",,,
9780330256773,The Great Pursuit,"Sharpe, Tom",,,
9780330274869,"Tomorrow, When the War Began","Marsden, John",,,
9780330284141,Name of the Rose,"Eco, Umberto",,,
9780330285537,Jack the Bodiless (Galactic Milieu Trilogy),"May, Julian",,,
9780330287074,Valentine Pontifex,"Silverberg, Robert",,,
9780330294911,Man Who Mistook His Wife for a Hat (Picador),"Sacks, Oliver",,,
9780330298926,Fatal Shore,"Hughes, Robert",,,
9780330301626,Dirk Gently's Holistic Detective Agency,"Adams, Douglas",,,
9780330303095,Intervention,"May, Julian",,,
9780330309554,The Long Dark Tea-Time of the Soul,"Adams, Douglas",,,
9780330311113,Greenmantle,"de Lint, Charles",,,
9780330315760,Moonheart,"de Lint, Charles",,,
9780330320023,Last Chance to See....,"Adams, Douglas",,,
9780330322997,Diamond Mask (The Galactic Mileu Trilogy),"May, Julian",,,
9780330323055,Magnificat (The Galactic Mileu Trilogy),"May, Julian",,,
9780330323116,Mostly Harmless,"Adams, Douglas",,,
9780330330442,Nano Flower (Greg Mandel),"Hamilton, Peter F",,,
9780330330459,A Quantum Murder (Greg Mandel),"Hamilton, Peter F",,,
9780330339599,Memory And Dream,"de Lint, Charles",,,
9780330340328,"The Reality Dysfunction (Night's Dawn Trilogy, Book 1)","Hamilton, Peter F.",,,
9780330351430,Neutronium Alchemist (Nights Dawn Trilogy 2),"Hamilton, Peter F",,,
9780330351454,Naked God (Nights Dawn Trilogy 3),"Hamilton, Peter F",,,
9780330351829,Second Chance at Eden,"Hamilton, Peter F",,,
9780330391658,E=mc2,"Bodanis, David",,,
9780330392891,Perdido Street Station,"Mieville, China",,,
9780330392907,Scar,"Mieville, China",,,
9780330434188,Looking for Jake: And Other Stories,"Mieville, China",,,
9780330443029,The Dreaming Void,"Hamilton, Peter F.",,,
9780330480062,Fallen Dragon,"Hamilton, Peter F",,,
9780330480222,Misspent Youth,"Hamilton, Peter F",,,
9780330492324,Kraken: An Anatomy,"Mieville, China",,,
9780330492522,Iron Council,"Mieville, China",,,
9780330493314,Pandora's Star,"Hamilton, Peter F.",,,
9780330493536,Judas Unchained (Commonwealth Saga),"Hamilton, Peter F",,,
9780330522205,Manhattan in Reverse,"Hamilton, Peter F.",,,
9780330534222,Looking for Jake and Other Stories,"Mieville, China",,,
9780333521984,The Golden Bough,"Frazer, J.G.",,,
9780340212813,Russian (Teach Yourself Series),"Frewin, Michael",,,
9780340270226,Esperanto (Teach Yourself),John Cresswell; John Hartley,,,
9780340728345,Wallace and Gromit: Anoraknophobia (Wallace &amp; Gromit),Tristan Davies; Nick Newman,,,
9780340837955,Stranger in a Strange Land,"Heinlein, Robert A.",,,
9780340950920,James May's Magnificent Machines,"May, James",,,
9780349101712,Canal Dreams,"Banks, Iain",,,
9780349101774,Wasp Factory Uk,"Banks, Iain",,,
9780349102153,The Bridge,"Banks, Iain",,,
9780349103235,The Crow Road,"Banks, Iain",,,
9780349105710,Complicity,"Banks, Iain",,,
9780356500287,Fool Moon,"Butcher, Jim",,,
9780356501727,Existence - Limited Edition 3d Cover,"Brin, David",,,
9780385267748,The Design of Everyday Things,"Norman, Donald",,,
9780385409858,Almost Like a Whale,"Jones, Steve",,,
9780393316896,The Bible and the Ancient Near East (Revised Edition),Cyrus H. Gordon; Gary A. Rendsburg,,,
9780413523501,Gormenghast,"Peake, Mervyn",,,
9780413523600,Titus Alone,"Peake, Mervyn",,,
9780413523709,Titus Groan,"Peake, Mervyn",,,
9780415078542,A History of Western Philosophy,"Russell, Bertrand",,,
9780439968034,Mad Miscellany (Horrible Histories),"Deary, Terry",,,
9780440539810,"The Illuminatus! Trilogy: The Eye in the Pyramid, The Golden Apple, Leviathan","Shea, Robert;Wilson, Robert Anton",,,
9780450056963,Mute,"Anthony, Piers",,,
9780450058486,Sword of the Lamb,"Wren, M.K.",,,
9780450058684,Shadow of the Swan,"Wren, M.K.",,,
9780450393785,House of the Wolf,"Wren, M. K.",,,
9780450398742,Voyage to the City of the Dead,"Foster, Alan Dean",,,
9780451457813,Storm Front,"Butcher, Jim",,,
9780460876162,Edda (Everyman's Library),"Sturluson, Snorri",,,
9780471308249,Rogue Asteroids and Doomsday Comets: The Search for the Million Megaton Menace That Threatens Life on Earth,Duncan Steel; Arthur C. Clarke,,,
9780500284414,"Archaeology: Theories, Methods, and Practice (Portuguese Edition)",Colin Renfrew; Paul Bahn,,,
9780521366830,Black Holes and the Universe (Canto),"Novikov, Igor D.",,,
9780552086615,Decision at Doona,"Mccaffrey, Anne",,,
9780552122849,Pawn of Prophecy,"Eddings, David",,,
9780552123488,Queen of Sorcery,"Eddings, David",,,
9780552123822,Magician's Gambit,"Eddings, David",,,
9780552124355,Castle Of Wizardry,"Eddings, David",,,
9780552124478,Enchanters' End Game (Belgariad),"Eddings, David",,,
9780552124751,The colour of Magic,"Pratchett, Terry",,,
9780552124997,Moreta,"McCaffrey, Anne",,,
9780552125666,The Wizards And The Warriors,"Cook, Hugh",,,
9780552125697,The Fourth Protocol,"Forsyth, Frederick",,,
9780552126465,Bridge of Birds,"Hughart, Barry",,,
9780552126793,Master of the Five Magics,"Hardy, Lyndon",,,
9780552126809,Secret Of The Sixth Magic,"Hardy, Lyndon",,,
9780552126830,Exiles of the Rynth,"Douglas, Carole Nelson",,,
9780552128483,The Light Fantastic (Discworld Novel),"Pratchett, Terry",,,
9780552128490,The Revenants,"Tepper, Sheri S.",,,
9780552130172,Guardians of the West (The Malloreon),"Eddings, David",,,
9780552130189,King Of The Murgos (The Malloreon),"Eddings, David",,,
9780552130196,Demon Lord of Karanda (The Malloreon),"Eddings, David",,,
